claim,claim_en,verdict,train_mask,val_mask,test_mask,health_word
"More than half of myocarditis cases caused by COVID-19 vaccines occur in those aged between 12 and 34, yet this age group has a COVID-19 recovery rate of 99.99%","More than half of myocarditis cases caused by COVID-19 vaccines occur in those aged between 12 and 34, yet this age group has a COVID-19 recovery rate of 99.99%",misinformation,True,False,False,age
"দীর্ঘক্ষণ মাস্ক ব্যবহার হাইপোক্সিয়া, অক্সিজেনের ঘাটতি, ক্লান্তি ও প্রতিবর্ত ক্রিয়া হ্রাসের কারণ হতে পারে","Prolonged use of the mask may cause hypoxia, oxygen deficiency, fatigue, and decreased reflexes",misinformation,True,False,False,fatigue
Homem morre de ataque cardíaco após receber vacina da Covid-19,Man Dies of Heart Attack After Receiving Covid-19 Vaccine,misinformation,True,False,False,heart attack
"""Boas notícias! Vacina contra o vírus corona pronta. Capaz de curar o paciente 3 horas após à injeção. Tiremos o chapéu para os cientistas dos EUA. No momento, Trump anunciou que a Roche Medical Company lançará a vacina no próximo domingo e milhões de doses estão prontas!""","""Good news! Corona virus vaccine ready. Capable of curing patient 3 hours after injection. Hats off to US scientists. At the moment, Trump has announced that Roche Medical Company will launch the vaccine next Sunday and millions of doses are ready!""",misinformation,True,False,False,patient
El primer paciente de coronavirus en la Comunidad de Madrid confirmado en el Hospital Puerta de Hierro Majadahonda,The first coronavirus patient in the Community of Madrid confirmed at the Puerta de Hierro Majadahonda Hospital,misinformation,True,False,False,"hospital, patient"
Sverige havde ikke overdødelighed i 2020,Sweden did not have excess mortality in 2020,misinformation,True,False,False,mortality
"""Tosse com sangue, olhos inchados, fadiga, tosse com catarro espesso, arrepios, dor de cabeça, diarreia, nariz entupido, náusea, dor articular, falta de ar, febre são os principais sintomas da Covid-19""","""Cough with blood, swollen eyes, fatigue, cough with thick phlegm, chills, headache, diarrhea, stuffy nose, nausea, joint pain, shortness of breath, fever are the main symptoms of Covid-19""",misinformation,True,False,False,"shortness of breath, fatigue"
“O Wasington Post confirma a origem do paciente zero do coronavírus: ele era funcionário do famoso laboratório de virologia da cidade chinesa de Wuhan.”,"""The Washton Post confirms the origin of coronavirus patient zero: he was an employee of the famous virology laboratory in the Chinese city of Wuhan.""",misinformation,True,False,False,patient
కరోనా వైరస్ ఇప్పుడు అత్యంత ప్రమాదకరంగా మారింది. వయసుతో సంబంధం లేకుండా ఎవరినైనా మూడు రోజుల్లోనే లక్షణాలు కనబడకుండానే చంపేస్తుంది – ప్రపంచ ఆరోగ్య సంస్థ,"The corona virus has now become extremely dangerous. Kills anyone, regardless of age, without symptoms in three days - World Health Organization",misinformation,True,False,False,age
"Claramente, Trump tinha um dispositivo de oxigénio debaixo do seu fato ontem, quando ele apareceu a caminhar até ao helicóptero para o hospital. Depois apanhou #COVID19","Clearly, Trump had an oxygen device under his suit yesterday, when he showed up walking to the helicopter to the hospital. Then he got #COVID19",misinformation,False,False,True,hospital
Ataşehir Fatih Sultan Mehmet Hastanesi’nde koronavirüs tespit edildiği iddiası,The claim that coronavirus was detected in Ataşehir Fatih Sultan Mehmet Hospital,misinformation,True,False,False,hospital
"The CDC ""quietly updated"" its COVID-19 mortality statistics in summer 2020 to show only 6% of previously reported deaths were actually due to the coronavirus, while the remaining 94% died from preexisting health conditions.","The CDC ""quietly updated"" its COVID-19 mortality statistics in summer 2020 to show only 6% of previously reported deaths were actually due to the coronavirus, while the remaining 94% died from preexisting health conditions.",misinformation,True,False,False,mortality
"""Hospital do Amadora Sintra sem oxigénio... Todos os doentes estão a ser transferidos para o hospital Santa Maria""","""Amadora Sintra Hospital without oxygen... All patients are being transferred to Santa Maria hospital""",misinformation,True,False,False,hospital
"Os coronavirus causam 30% de todas as constipações há décadas. Influenza e Tuberculose têm uma alta taxa de contaminação e são potencialmente mais letais do que o Sars-Cov-2. Cancro e doenças cardiovasculares matam, juntas, quase 30 milhões anualmente no mundo. Quando tomamos medidas parecidas?",Coronaviruses have caused 30% of all colds for decades. Influenza and Tuberculosis have a high contamination rate and are potentially more lethal than Sars-Cov-2. Cancer and cardiovascular disease together kill nearly 30 million annually worldwide. When do we take similar measures?,misinformation,True,False,False,cardiovascular disease
"“The first clinical trial on remdesivir, an experimental medication by the company Gilead Sciences, which has been seen as one of the promising and most successful medications in treating coronavirus, proved a failure.”","“The first clinical trial on remdesivir, an experimental medication by the company Gilead Sciences, which has been seen as one of the promising and most successful medications in treating coronavirus, proved a failure.”",misinformation,True,False,False,clinical trial
"I am opposed to raising the retirement age [in Russia]. As long as I am president, no such decision will be made. Altogether, I believe that there is no need in our country to raise the retirement age. We can and need to boost the economy and the interest of people to continue working but without infringing on their rights to retirement. I will say this again: I am against raising the retirement age.","I am opposed to raising the retirement age [in Russia]. As long as I am president, no such decision will be made. Altogether, I believe that there is no need in our country to raise the retirement age. We can and need to boost the economy and the interest of people to continue working but without infringing on their rights to retirement. I will say this again: I am against raising the retirement age.",misinformation,True,False,False,age
"“A German university says that [masks] are harmful to children, and show several aspects like irritability, headache, difficulty concentrating, decreased perception of happiness, refusal to go to school or daycare, discouragement, impaired learning ability, dizziness, fatigue.”","“A German university says that [masks] are harmful to children, and show several aspects like irritability, headache, difficulty concentrating, decreased perception of happiness, refusal to go to school or daycare, discouragement, impaired learning ability, dizziness, fatigue.”",misinformation,True,False,False,"dizziness, fatigue"
Vacina da Pfizer aumentou em 260 vezes a taxa de mortalidade de jovens com covid-19 em Israel,Pfizer's vaccine increased the mortality rate of young people with covid-19 in Israel by 260 times,misinformation,True,False,False,mortality
করোনাভাইরাস আক্রান্ত রোগীর গলার ছবি,Picture of the throat of a patient infected with coronavirus,misinformation,True,False,False,patient
Agência reguladora dos EUA alertou que vacinas de covid-19 podem causar infarto,US regulatory agency warned that covid-19 vaccines could cause heart attack,misinformation,True,False,False,heart attack
"Der Einsatz des Corona-Impfstoffs des Unternehmens Biontech und seines US-Partners Pfizer hat nach seiner Zulassung in mehreren Ländern begonnen. Nun kursieren Behauptungen über dessen Nebenwirkungen. So heißt es in einem Artikel: «Mindestens sechs Menschen sind Medienangaben zufolge bei den Testlaufs gestorben.» (hier archiviert) Weiterhin wird behauptet: «Bis zu 84 Prozent der Geimpften berichteten bei den Testlaufs von zahlreichen Nebenwirkungen wie Müdigkeit, Kopf-, Muskel- oder Gelenkschmerzen sowie Schüttelfrost oder Fieber.» Bei vielen Geimpften seien die Lymphknoten angeschwollen.","The use of the corona vaccine from the company Biontech and its US partner Pfizer began in several countries after its approval. Claims are now circulating about its side effects. An article says: ""According to media reports, at least six people died during the test runs."" (archived here) It is also claimed: ""Up to 84 percent of those vaccinated reported numerous side effects such as fatigue, headache, muscle or joint pain, as well as chills or fever during the test run."" In many vaccinated people, the lymph nodes were swollen.",misinformation,True,False,False,fatigue
"Tiffany Dover falleció el 19 de diciembre engañada por su gobierno, los gerentes de su hospital, los medios y la farmacéutica Pfizer… que su sacrificio en la enfermera que salvó más vidas. ¡No a la vacuna que mata!","Tiffany Dover passed away on December 19 deceived by her government, her hospital managers, the media and the pharmaceutical company Pfizer… than her sacrifice in the nurse who saved the most lives. No to the vaccine that kills!",misinformation,True,False,False,hospital
È ricoverata all'Ospedale Spallanzani di Roma con polmonite da Covid-19 una ventenne della zona Nord della Capitale dopo essere stata per una settimana in Sardegna ed aver frequentato intensivamente locali di Porto Cervo,A twenty-year-old from the north of the capital is hospitalized at the Spallanzani Hospital in Rome with Covid-19 pneumonia after having been for a week in Sardinia and having intensively attended clubs in Porto Cervo,misinformation,True,False,False,hospital
"Vincenzo Puro dell'ospedale Spallanzani di Roma: «Gli asintomatici non contagiano, il virus non è letale»","Vincenzo Puro of the Spallanzani hospital in Rome: ""The asymptomatic do not infect, the virus is not lethal""",misinformation,True,False,False,hospital
"Cnr, ospedale Sacco e Università di Milano hanno pubblicato un questionario online intitolato «Indagine epidemiologica nazionale Covid-19».","Cnr, Sacco hospital and the University of Milan have published an online questionnaire entitled ""National Covid-19 epidemiological survey"".",factual,True,False,False,hospital
«Tabella rimborsi per i ricoveri ospedalieri per Covid. 900 euro al giorno per 10 giorni in terapia intensiva. 538 euro al giorno per 12 giorni in terapia sub intensiva. 250 euro al giorno per ricoveri ordinari della durata di 14 giorni. Adesso vi è chiaro perché sono stati tutti registrati come Covid»,"«Reimbursement table for hospital admissions for Covid. 900 euros per day for 10 days in intensive care. 538 euros per day for 12 days in sub-intensive therapy. 250 euros per day for ordinary hospitalizations lasting 14 days. Now it is clear to you why they have all been registered as Covid """,misinformation,True,False,False,hospital
"«Gli ospedali italiani dovrebbero alleggerire prima possibile i loro reparti Covid e distribuire i malati per curarli meglio. Spesso ciò non avviene per ragioni economiche: il drg (Diagnosis related groups: il sistema di retribuzione degli ospedali per ogni attività di cura, ndr): riconosce 2.000 euro al giorno per ogni paziente di Covid-19. Un ospedale con 100 malati di Covid in reparto riceve dalla propria Regione, e quindi dallo Stato, 200.000 euro quotidiani. Come si può pensare che spontaneamente i vari ospedali si privino di malati di Covid per mandarli altrove?».","""Italian hospitals should lighten their Covid wards as soon as possible and distribute the sick to treat them better. Often this does not happen for economic reasons: the drg (Diagnosis related groups: the pay system of hospitals for each treatment activity, ed): recognizes 2,000 euros per day for each Covid-19 patient. A hospital with 100 Covid patients in the ward receives from its Region, and therefore from the State, 200,000 euros per day. How can we think that the various hospitals spontaneously deprive themselves of Covid patients to send them elsewhere? "".",misinformation,True,False,False,"diagnosis, hospital, patient"
"«Ricapitolando ... La Pzifer [sic] ha creato il vaccino stabile al 90% (PRATICAMENTE INFERIORE ALLA PERCENTUALE DI ASINTOMATICI CHE È DEL 95%, cioè efficacia pari a zero)! Nel frattempo, mesi fa, la Bill Gates foundation entra nella società della casa farmaceutica stessa, Bill Gates finanzia la campagna elettorale di Biden, Biden vince e, 24 ore dopo la proclamazione, l'annuncio del vaccino. È un pianeta meraviglioso. CI VACCINERANNO PER AVERE LA STESSA PERCENTUALE DI ASINTOMATICI ATTUALI E LA STESSA DI MORTALITÀ DA COVD, in compenso avremo chissà quanti effetti collaterali da vaccino e, forse anche, altri morti dovuti ad esso!! FANTASTICI!!! Praticamente efficace allo 0% visto che il 95% è la percentuale di infetti asintomatici! Cioè ti fai o non ti fai il vaccino, hai il 95% di possibilità, se ti infetti, di esser un asintomatico!»","«In summary ... Pzifer [sic] has created the vaccine stable at 90% (PRACTICALLY LESS THAN THE PERCENTAGE OF ASYMPTOMATICS WHICH IS 95%, ie efficacy equal to zero)! Meanwhile, months ago, the Bill Gates foundation enters the company of the pharmaceutical company itself, Bill Gates funds Biden's election campaign, Biden wins and, 24 hours after the proclamation, the announcement of the vaccine. It is a wonderful planet. THEY WILL VACCINATE US TO HAVE THE SAME PERCENTAGE OF CURRENT ASYMPTOMATICS AND THE SAME OF COVD MORTALITY, on the other hand we will have who knows how many vaccine side effects and, perhaps also, other deaths due to it! FANTASTIC !!! Virtually 0% effective as 95% is the percentage of asymptomatic infected! That is, you get or don't get the vaccine, you have a 95% chance, if you get infected, of being asymptomatic! """,misinformation,True,False,False,mortality
La foto mostra Jair Bolsonaro in ospedale dopo essere risultato positivo al nuovo coronavirus,The photo shows Jair Bolsonaro in hospital after testing positive for the new coronavirus,misinformation,True,False,False,hospital
"வாட்ஸ்ஆப் தகவல் : * கோவிட் -19ல் இருந்து இறந்த உடலில் பிரேத பரிசோதனை (பிரேத பரிசோதனை) செய்த முதல் நாடாக இத்தாலி திகழ்கிறது, மேலும் விரிவான விசாரணையின் பின்னர் கோவிட் -19 வைரஸாக இல்லை என்று கண்டறியப்பட்டது, மாறாக இது மிகவும் ஒரு பெரிய உலகளாவிய மோசடி உள்ளது. “பெருக்கப்பட்ட உலகளாவிய 5 ஜி மின்காந்த கதிர்வீச்சு (விஷம்)” காரணமாக மக்கள் உண்மையில் இறந்து கொண்டிருக்கிறார்கள். *

கரோனா வைரஸால் இறக்கும் மக்களின் சடலங்கள் குறித்து பிரேத பரிசோதனை (பிரேத பரிசோதனை) செய்ய அனுமதிக்காத உலக சுகாதார அமைப்பு (WHO) சட்டத்தை இத்தாலியில் உள்ள மருத்துவர்கள் மீறியுள்ளனர், எனவே சில அறிவியல் கண்டுபிடிப்பு மற்றும் விசாரணையின் பின்னர், இந்த முகவரி இது ஒரு வைரஸ் அல்ல, ஆனால் மரணத்தை ஏற்படுத்தும் ஒரு பாக்டீரியம், இதன் காரணமாக நரம்புகளில் இரத்த நாளங்கள் உருவாகின்றன, அதாவது, இந்த பாக்டீரியாவின் காரணமாக, நரம்புகள் மற்றும் நரம்புகளில் இரத்தம் குவிந்து இந்த நோயாளி மரணத்திற்கான காரணியாகிறது.","WhatsApp Info: * Italy is the first country to perform a post-mortem (autopsy) on a dead body since Covit-19, and after extensive investigation it was found that Covit-19 is not a virus, but rather it is a very large global fraud. People are actually dying because of ""multiplied global 5G electromagnetic radiation (poison)"". *

Physicians in Italy have violated World Health Organization (WHO) law that does not allow coronation (autopsy) of corpses of people who die of the corona virus, so after some scientific discovery and investigation, this address is not a virus, but a bacterium that causes death in the veins Blood vessels form, i.e., due to this bacterium, blood accumulates in the veins and veins causing this patient to die.",misinformation,True,False,False,patient
"Globalna Pandemija COVID-19 proglašena na temelju matematičke projekcije o smrtnosti kojom je predviđeno 268 milijuna zaraženih, od čega je 0,9% odnosno 2.2 milijuna ljudi trebalo umrijeti [9], koja se kasnije pokazala potpuno pogrešnom, a time i razlog za proglašenje pandemije.","The global pandemic COVID-19 was declared on the basis of a mathematical projection of mortality which predicted 268 million infected, of which 0.9% or 2.2 million people had to die [9], which later proved to be completely wrong, and thus the reason for declaring a pandemic .",misinformation,True,False,False,mortality
[WHO sier] at [PCR-testen] gir så mange falske positive at den ikke kan brukes til å slå fast om en pasient faktisk er smittet [av koronaviruset] eller ei.,[WHO says] that the [PCR test] gives so many false positives that it can not be used to determine whether a patient is actually infected [by the coronavirus] or not.,misinformation,True,False,False,patient
Un infermiere è morto di infarto dopo la seconda dose del vaccino,A nurse died of a heart attack after the second dose of the vaccine,misinformation,True,False,False,heart attack
"""As vacinas matam mais do que a doença! Pesquisa: Taxa de mortalidade......","""Vaccines kill more than the disease! Survey: Mortality rate......",misinformation,True,False,False,mortality
All'ospedale Niguarda di Milano vengono sprecate dosi di vaccino,Doses of vaccine are wasted at the Niguarda hospital in Milan,misinformation,True,False,False,hospital
"Whistleblower dalla casa di cura di Berlino: i terribili decessi dopo la vaccinazione Per la prima volta, c'è un rapporto di un testimone oculare di una casa di cura di Berlino sulla situazione dopo la vaccinazione. Proviene dalla casa di riposo AGAPLESION Bethanien Havelgarten a Berlino-Spandau. Lì, entro quattro settimane dalla prima vaccinazione con il vaccino BioNTech / Pfizer Comirnaty, otto dei 31 anziani, che soffrivano di demenza ma erano in buone condizioni fisiche in base alla loro età prima della vaccinazione, sono morti. La prima morte è avvenuta dopo soli sei giorni e altri cinque anziani sono morti circa 14 giorni dopo la vaccinazione. I primi sintomi della malattia erano già comparsi poco dopo la vaccinazione. Dalle informazioni disponibili a 2020News i pazienti non sono stati debitamente informati sui rischi di questo vaccino. L'avvocato Viviane Fischer e l'avvocato Dr.Reiner Füllmich del Comitato Corona hanno parlato in una videointervista con l'informatore sulle circostanze più vicine della vaccinazione, i sintomi che si sono verificati e la diversa natura dei decessi in connessione temporale con la vaccinazione "".","Whistleblower from Berlin Nursing Home: Terrible Deaths After Vaccination For the first time, there is an eyewitness report from a Berlin nursing home about the situation after vaccination. She comes from the AGAPLESION Bethanien Havelgarten retirement home in Berlin-Spandau. There, within four weeks of the first vaccination with the BioNTech / Pfizer Comirnaty vaccine, eight of the 31 seniors, who suffered from dementia but were in good physical condition based on their age prior to vaccination, died. The first death occurred after just six days, and five other elderly people died about 14 days after the vaccination. The first symptoms of the disease had already appeared shortly after the vaccination. From the information available to 2020News, patients have not been duly informed about the risks of this vaccine. Attorney Viviane Fischer and Attorney Dr. Reiner Füllmich of the Crown Committee spoke in a video interview with the whistleblower about the closest circumstances of vaccination, the symptoms that occurred and the different nature of deaths in temporal connection with vaccination "".",misinformation,True,False,False,age
"Video yang diklaim sebagai video tumpukan jenazah Covid-19 palsu yang telah dipersiapkan, karena salah satunya terlihat sedang merokok","The video that is claimed to be a video of a pile of fake Covid-19 corpses that has been prepared, because one of them is seen smoking",misinformation,True,False,False,smoking
مقطع فيديو لجثث متوفين بفايروس كورونا في بريطانيا، يظهر من بينها رجل وهو يُدخن سيجارة.,"A video clip of the dead bodies of the Corona virus in Britain, showing a man smoking a cigarette.",misinformation,True,False,False,smoking
Il video di un uomo che fuma con il corpo all’interno di un sacco mostra «finti morti da Covid»,"The video of a man smoking with his body inside a sack shows ""fake deaths from Covid""",misinformation,True,False,False,smoking
Large country-randomized controlled trial in 2.7 billion people shows 79.1% lower death rate in COVID-19 patients treated with hydroxychloroquine,Large country-randomized controlled trial in 2.7 billion people shows 79.1% lower death rate in COVID-19 patients treated with hydroxychloroquine,misinformation,True,False,False,randomized controlled trial
"Das Coronavirus soll angeblich dafür verantwortlich sein, dass weniger Menschen an der Grippe sterben. «Covid-19 ist ein Wundervirus!», heißt es in einem Beitrag auf Facebook. Das Virus habe «die Grippe komplett ausgerottet», «die Herzinfarkt-Rate um mehr als 50% reduziert» und «kein einziger Masern-Infekt konnte mehr verzeichnet werden». Dazu wird ein Balkendiagramm mit dem Titel «Deutsche Grippewellen» gezeigt. Für acht ausgewählte Grippesaisons der vergangenen 18 Jahre wird die Anzahl der «Coronatoten» mit der Anzahl der «Grippetoten» verglichen. Während für die vergangenen Saisons zwischen 8000 und 25 100 «Grippetote» und null «Coronatote» angegeben werden, sind für die aktuelle Saison 9000 «Coronatote» und nur 411 «Grippetote» ausgewiesen","The coronavirus is said to be responsible for fewer people dying from the flu. “Covid-19 is a miracle virus!” Read a post on Facebook. The virus “completely eradicated the flu”, “reduced the heart attack rate by more than 50%” and “not a single measles infection was recorded”. A bar chart with the title “German flu waves” is also shown. For eight selected flu seasons over the past 18 years, the number of ""corona deaths"" is compared with the number of ""flu deaths"". While between 8,000 and 25,100 “flu deaths” and zero “coronation deaths” were reported for the past seasons, 9,000 “coronation deaths” and only 411 “flu deaths” are reported for the current season",misinformation,True,False,False,heart attack
"Boas notícias! Vacina contra o vírus Corona (sic) pronta. Capaz de curar o paciente dentro de 3 horas após a injeção. Tiremos o chapéu para os cientistas dos EUA. No momento, Trump anunciou que a Roche Medical Company lançará a vacina no próximo domingo e milhões de doses estão prontas!","Good news! Corona virus vaccine (sic) ready. Able to cure the patient within 3 hours of injection. Hats off to US scientists. At the moment, Trump has announced that Roche Medical Company will release the vaccine next Sunday and millions of doses are ready!",misinformation,True,False,False,patient
El vídeo que muestra a “médicos” que “caen” mientras operan a un paciente con coronavirus,"The video that shows ""doctors"" who ""fall"" while operating on a patient with coronavirus",misinformation,True,False,False,patient
"La vidéo d'une femme d’âge mûr, masquée, allongée sur un brancard d’hôpital recouvert de plastique circule dans les réseaux sociaux. Selon la légende, qui accompagne la vidéo, cette patiente respirant difficilement a été déclarée morte du coronavirus par le corps médical. Sa famille, inquiète, n’a pas accepté la fatalité et s’est rendue à la morgue. « Ils ont dézippé le sac mortuaire et l'ont trouvée encore en vie », lit-on.","Video of a masked mature woman lying on a plastic-covered hospital stretcher is circulating on social media. According to the legend, which accompanies the video, this patient breathing with difficulty was declared dead of the coronavirus by the medical profession. Her worried family did not accept the fate and went to the morgue. ""They unzipped the body bag and found her still alive,"" it read.",misinformation,True,False,False,"hospital, patient"
"Op sociale media gaat een verhaal rond over een man die positief getest zou zijn op Covid-19. Volgens het bericht zou de man daardoor bloed plassen en zouden de mensen die bij hem in de buurt komen zo'n 80 procent kans hebben om ook positief te testen. Bovendien beweert de auteur van het bericht dat de man is weggelopen uit het ""ziekenhuis van Torhout"", maar klopt dat wel?","A story is circulating on social media about a man who is said to have tested positive for Covid-19. According to the report, the man would pee blood as a result and the people who come near him would have an 80 percent chance of also testing positive. In addition, the author of the message claims that the man ran away from the ""Hospital of Torhout"", but is that correct?",misinformation,True,False,False,hospital
"Eine Klinik in Rheinland-Pfalz soll angeblich aufgrund zu geringer Belegung in der Pandemie den Betrieb eingestellt haben. «Nicht genug Corona-Patienten: Krankenhaus in Ingelheim wird geschlossen», heißt es auf einem Foto, das sich auf Facebook verbreitet (hier archiviert).","A clinic in Rhineland-Palatinate is said to have ceased operations due to insufficient occupancy in the pandemic. ""Not enough corona patients: the hospital in Ingelheim will be closed,"" says a photo that is spread on Facebook (archived here).",misinformation,True,False,False,hospital
"El porcentaje de mortalidad en EEUU por covid-19 apenas es del 6% de todas las muertes atribuidas a la enfermedad, según un pastor evangélico","The percentage of mortality in the US from covid-19 is barely 6% of all deaths attributed to the disease, according to an evangelical pastor",misinformation,True,False,False,mortality
"65,000 deaths tested positive for coronavirus within 30 days of their death, so they could have died of a heart attack or a stroke or cancer, but it will go down as a Covid death.","65,000 deaths tested positive for coronavirus within 30 days of their death, so they could have died of a heart attack or a stroke or cancer, but it will go down as a Covid death.",misinformation,True,False,False,"heart attack, stroke"
"Plusieurs utilisateurs Facebook partageaient un message supposément envoyé par une infirmière du CHU Saint-Pierre de Bruxelles. Le message, relayé sur plusieurs réseaux sociaux, annonçait que le service des urgences de l’hôpital avait reçu une trentaine de patients atteints de Covid-19 mais que la direction de l’hôpital avait fait signer une clause de confidentialité à ses employés.","Several Facebook users shared a message supposedly sent by a nurse from the CHU Saint-Pierre in Brussels. The message, relayed on several social networks, announced that the hospital's emergency department had received around 30 patients with Covid-19 but that the hospital management had signed a confidentiality clause to its employees.",misinformation,True,False,False,hospital
"Einige Menschen stören sich an der Tragepflicht einer Schutzmaske als Maßnahme gegen die Ausbreitung von Covid-19. Gegner der Masken argumentieren, dass diese schädlich für die Gesundheit seien. Derzeit seien etwa alleine in Wien zehn Kinder mit einer Lungenpilzinfektion im Krankenhaus, behauptet etwa ein Posting auf Facebook. Quelle soll eine nicht näher genannte Ärztin sein.",Some people are bothered by the obligation to wear a protective mask as a measure against the spread of Covid-19. Opponents of the masks argue that they are harmful to health. A post on Facebook claims that there are currently ten children with a fungal lung infection in the hospital in Vienna alone. The source is said to be an unspecified doctor.,misinformation,True,False,False,hospital
"Einige Menschen stören sich an der Tragepflicht einer Schutzmaske als Maßnahme gegen die Ausbreitung von Covid-19. Gegner der Masken argumentieren, dass diese schädlich für die Gesundheit seien. Derzeit seien etwa alleine in Wien zehn Kinder mit einer Lungenpilzinfektion im Krankenhaus, behauptet etwa ein Posting auf Facebook (hier archiviert). Quelle soll eine nicht näher genannte Ärztin sein.","Some people are bothered by the obligation to wear a protective mask as a measure against the spread of Covid-19. Opponents of the masks argue that they are harmful to health. There are currently ten children with a fungal lung infection in the hospital in Vienna alone, claims a post on Facebook (archived here). The source is said to be an unspecified doctor.",misinformation,True,False,False,hospital
In een posting op Facebook wordt beweerd dat de politie in India overtreders van de COVID-19-gedragsregels (met z’n drieën zonder helm of masker op de motor) de schrik van hun leven aanjaagt door hen met geweld in een ambulance met een COVID-19-patiënt te stoppen. De gemaskerde patiënt is nep (te weten niet met het nieuwe coronavirus besmet) maar dat weten de burgers in overtreding niet. Op een bijgevoegde video is te zien hoe zij in paniek uit de ambulance proberen te ontsnappen.,"A Facebook post alleges that the police in India are terrifying violators of the COVID-19 code of conduct (the three of them without helmets or masks on their motorcycles) by forcibly transporting them into an ambulance with a COVID-19 virus. -19 patient to stop. The masked patient is fake (i.e. not infected with the new coronavirus), but the citizens in violation do not know that. An attached video shows how they try to escape from the ambulance in a panic.",misinformation,True,False,False,patient
