claim,claim_en,verdict,train_mask,val_mask,test_mask
Es sospechoso que haya vacuna contra el covid-19 en tres meses pero no contra el sida o el cáncer,It is suspected that there is a vaccine against covid-19 in three months but not against AIDS or cancer,misinformation,True,False,False
Cjepivo protiv Covida-19 “sadrži DNK modifikatore i multiplikatore”.,"The Covid-19 vaccine ""contains DNA modifiers and multipliers.""",misinformation,True,False,False
"“Tanggal pembuatan vaksin adalah 2018, setahun sebelum Covid-19 melanda”","“The date of manufacture of the vaccine is 2018, a year before Covid-19 hit”",misinformation,True,False,False
Covid-19 aşılarının etkililik oranlarına dair iddialar,Claims about the effectiveness of Covid-19 vaccines,misinformation,True,False,False
Pemberian Vaksin Covid-19 oleh Badan Litbangkes,Provision of the Covid-19 Vaccine by the Research and Development Agency,misinformation,True,False,False
วัคซีนโควิด-19 เปลี่ยน DNA?,Will the COVID-19 vaccine change DNA?,misinformation,True,False,False
La COVID-19 tiene su origen en la campaña de vacunación masiva de gripe,COVID-19 originates from the massive flu vaccination campaign,misinformation,True,False,False
Un visuel met en parallèle l'absence de vaccin contre le Sida et les imminents vaccins contre le Covid-19,A visual parallels the absence of an AIDS vaccine and the imminent vaccines against Covid-19,misinformation,True,False,False
"A “peer reviewed, scientific study showed that the COVID-19 vaccine causes two deaths for every three lives it saves.”","A “peer reviewed, scientific study showed that the COVID-19 vaccine causes two deaths for every three lives it saves.”",misinformation,True,False,False
Vaccines to cure Covid-19 are ready,Vaccines to cure Covid-19 are ready,misinformation,True,False,False
"Covid-19 é o nome de um plano para reduzir a população, tomar vacinas enfraquece o sistema imunológico, os testes não detectam com precisão o novo coronavírus, segundo o doutor Roberto Petrella","Covid-19 is the name of a plan to reduce population, taking vaccines weakens the immune system, tests do not accurately detect the new coronavirus, according to Dr. Roberto Petrella",misinformation,True,False,False
"vacinas covid-19 vão “desligar” o nosso sistema imunológico, e não resistiremos a uma próxima mutação da covid-19.","covid-19 vaccines will “turn off” our immune system, and we won't resist the next covid-19 mutation.",misinformation,True,False,False
Szczepienia przeciw COVID-19 to eksperyment medyczny,Vaccination against COVID-19 is a medical experiment,misinformation,True,False,False
COVID-19 vaccine will kill 50 million Americans,COVID-19 vaccine will kill 50 million Americans,misinformation,True,False,False
Vaccine kills more people than COVID-19,Vaccine kills more people than COVID-19,misinformation,True,False,False
"MHRA posiada dowody na to, że szczepionki przeciw Covid-19 są niebezpieczne",The MHRA has evidence that Covid-19 vaccines are dangerous,misinformation,True,False,False
"Cjepivo s Oxforda protiv Covida-19 sadrži ""DNK manipulatore"" i ""DNK multiplikatore"" što može omogućiti da se ljudima upravlja putem elektromagnetnih valova.",The Oxford vaccine against Covid-19 contains “DNA manipulators” and “DNA multipliers” which can allow people to be controlled via electromagnetic waves.,misinformation,True,False,False
Cijepljenjem protiv Covida-19 se ljude želi genetski modificirati.,Vaccination against Covid-19 is intended to genetically modify humans.,misinformation,True,False,False
"Covid-19 significa CERTIFICATO DI IDENTIFICAZIONE DELLA VACCINAZIONE CON INTELLIGENZA ARTIFICIALE, i tamponi vengono usati per farvi star male e alla fine i vaccini vi indeboliranno e vi uccideranno.","Covid-19 means ARTIFICIAL INTELLIGENCE VACCINATION IDENTIFICATION CERTIFICATE, tampons are used to make you sick and eventually vaccines will weaken and kill you.",misinformation,True,False,False
Picture shows COVID-19 vaccine developed by American scientists,Picture shows COVID-19 vaccine developed by American scientists,misinformation,True,False,False
Banyak Data Orang Meninggal Dunia Akibat Vaksin Covid-19,Lots of Data on People Died Due to Covid-19 Vaccine,misinformation,True,False,False
Pandémia COVID-19 sa končí a vakcíny netreba,The COVID-19 pandemic is coming to an end and no vaccines are needed,misinformation,True,False,False
Finalmente achamos uma vacina que funciona! Parabéns à CHINA pelo exemplo de combate ao COVID-19! Todos devem comprar a Vacina Chinesa AGORA,We finally found a vaccine that works! Congratulations to CHINA for the example of fighting COVID-19! Everyone must buy the Chinese Vaccine NOW,misinformation,True,False,False
Robert F Kennedy Jr said COVID-19 mRNA vaccine will alter the individuals genetic material.,Robert F Kennedy Jr said COVID-19 mRNA vaccine will alter the individuals genetic material.,misinformation,True,False,False
Covid-19 vaccine products were being tested on developing countries,Covid-19 vaccine products were being tested on developing countries,misinformation,True,False,False
Vakcína proti ochoreniu COVID-19 zabije 50 miliónov Američanov,The COVID-19 vaccine will kill 50 million Americans,misinformation,True,False,False
"Message on vaccine for COVID-19 to be in market from August 15, 2020","Message on vaccine for COVID-19 to be in market from August 15, 2020",misinformation,True,False,False
"""Death toll” of COVID-19 vaccines is more than 20 times higher than that of past vaccines","""Death toll” of COVID-19 vaccines is more than 20 times higher than that of past vaccines",misinformation,True,False,False
Ümit Aktaş’ın Covid-19 aşıları hakkında iddiaları,Claims of Ümit Aktaş about Covid-19 vaccines,misinformation,True,False,False
"The COVID-19 vaccines are being used to identify and track people, and will biologically alter human forms. This makes them “barcodes for life.”","The COVID-19 vaccines are being used to identify and track people, and will biologically alter human forms. This makes them “barcodes for life.”",misinformation,True,False,False
"Издание The Washington Post включило вакцину против COVID-19, разрабатываемую в Казахстане, в список 200 перспективных, экспериментальных вакцин, которые, как оно считает, помогут остановить пандемию","The Washington Post has included the COVID-19 vaccine being developed in Kazakhstan in its list of 200 promising, experimental vaccines that it believes will help stop the pandemic.",misinformation,True,False,False
COVID-19 vaccine,COVID-19 vaccine,misinformation,True,False,False
Pesan Berantai Video “Potensi Bahaya Vaksin COVID-19”,Video Chain Message “Potential Dangers of the COVID-19 Vaccine”,misinformation,True,False,False
Desenvolvimento das vacinas contra covid-19 é comparável ao da talidomida,Development of vaccines against covid-19 is comparable to that of thalidomide,misinformation,True,False,False
"With the survival rate of COVID-19 close to 100% without a vaccine, what exactly will the purpose of the new vaccine be?","With the survival rate of COVID-19 close to 100% without a vaccine, what exactly will the purpose of the new vaccine be?",misinformation,True,False,False
Covid-19 aşılarının insan vücudunda zehir ürettiği iddiası,The claim that Covid-19 vaccines produce poison in the human body,misinformation,True,False,False
"""Vacinas contra a Covid-19 não criam imunidade""","""Covid-19 vaccines do not create immunity""",misinformation,True,False,False
"La TV tedesca parla del vaccino contro la Covid-19 e sostiene, con l'aiuto di due medici, che sarà capace di modificare il DNA umano.","German TV talks about the Covid-19 vaccine and claims, with the help of two doctors, that it will be able to modify human DNA.",misinformation,True,False,False
Chinda Brandolino advierte sobre la ley de vacunación masiva y obligatoria contra covid-19 y las vacunas que modificarán definitivamente el genoma,Chinda Brandolino warns about the law of massive and mandatory vaccination against covid-19 and the vaccines that will definitively modify the genome,misinformation,True,False,False
"Nouveaux vaccins capables de ""s'intégrer au génome"", près de 3% des vaccinés aux Etats-Unis ""incapables de travailler"", remèdes ""extraordinaires"" déjà existants contre le Covid-19 : attention dans une vidéo d’une heure partagée des dizaines milliers de fois depuis le 16 janvier sur Facebook, une généticienne française reprend à son compte plusieurs fausses informations sur la pandémie de Covid-19. Pour l'AFP Factuel, des scientifiques et médecins font le point sur les principales contre-vérités mis en avant par cette ex-chercheuse de l'Inserm.","New vaccines capable of ""integrating into the genome"", nearly 3% of vaccinated in the United States ""unable to work"", ""extraordinary"" remedies already in existence against Covid-19: attention in a video of an hour shared by tens of thousands of times since January 16 on Facebook, a French geneticist has taken up several false information on the Covid-19 pandemic. For AFP Factuel, scientists and doctors take stock of the main untruths put forward by this former Inserm researcher.",misinformation,True,False,False
Szczepienia przeciwko Covid-19 spowodują zmiany ludzkich genów,Vaccination against Covid-19 will alter the human genes,misinformation,True,False,False
Un vaccin contre le Covid-19 a été trouvé et mis au point avant que l'épidémie ne se déclenche.,A vaccine against Covid-19 was found and developed before the epidemic broke out.,misinformation,True,False,False
Diretora da OMS não recomenda que vacina contra covid-19 seja obrigatória,Director of WHO does not recommend that vaccine against covid-19 is mandatory,misinformation,True,False,False
"Vacina Covid-19 acelerada altera o DNA humano, transforma as pessoas em propriedades geneticamente modificadas","Accelerated Covid-19 Vaccine Alters Human DNA, Turns People into Genetically Modified Properties",misinformation,True,False,False
[Po szczepionce na COVID-19 część osób może umrzeć],[Some people may die after the COVID-19 vaccine],misinformation,True,False,False
Po szczepionce przeciw COVID-19 własne DNA przejdzie we własność innych osób.,"After the COVID-19 vaccine, your own DNA will become the property of others.",misinformation,True,False,False
China develops COVID-19 vaccine,China develops COVID-19 vaccine,misinformation,True,False,False
"Bharat Biotech’s COVID-19 vaccine will be available in the market from 15 August, according to a letter from ICMR about fast-tracking the clinical trials of the vaccine.","Bharat Biotech’s COVID-19 vaccine will be available in the market from 15 August, according to a letter from ICMR about fast-tracking the clinical trials of the vaccine.",misinformation,True,False,False
"La proteína S de la vacuna contra la COVID-19 es una toxina, es patógena y puede causar daños en el organismo","The protein S in the COVID-19 vaccine is a toxin, is pathogenic and can cause damage to the body",misinformation,True,False,False
“Bill Gates Explains That The COVID Vaccine Will Use Experimental Technology And Permanently Alter Your DNA”,“Bill Gates Explains That The COVID Vaccine Will Use Experimental Technology And Permanently Alter Your DNA”,misinformation,True,False,False
"Преку тестирањето за ковид-19, се вршела и делумна вакцинација на населението и тоа преку нано честички во мозокот на луѓето","Through the test for covid-19, partial vaccination of the population was performed through nano particles in the human brain.",misinformation,True,False,False
Covid-19-Impfstoffe würden in die menschliche DNA eingreifen und es gebe eine „gentechnologische Veränderung“.,"Covid-19 vaccines would interfere with human DNA and there is a ""genetic modification"".",misinformation,True,False,False
Zaszczepieni przeciwko Covid-19 stanowią zagrożenie dla niezaszczepionych,Those vaccinated against Covid-19 pose a risk to the unvaccinated,misinformation,True,False,False
"Publicação mostra tabela sobre casos de problemas de pele, de visão e psiquiátricos causados pelas vacinas contra a Covid-19.","Publication shows a table on cases of skin, vision and psychiatric problems caused by Covid-19 vaccines.",misinformation,True,False,False
"Σύμφωνα με το Πανεπιστήμιο Johns Hopkins των ΗΠΑ, τα εμβόλια για την COVID-19 έχουν σχεδιαστεί με τέτοιο τρόπο ώστε οι εμβολιασμένοι να μπορούν να ""μεταδίδουν"" τον ιό SARS-CoV-2 σε άλλα άτομα με τα οποία έρχονται σε επαφή.","According to Johns Hopkins University in the United States, COVID-19 vaccines are designed so that vaccinated people can ""transmit"" the SARS-CoV-2 virus to other people they come in contact with.",misinformation,True,False,False
"Projeto de lei em tramitação na Câmara dos Deputados quer obrigar as pessoas a tomarem a vacina contra a covid-19, sob pena de serem detidos por até um ano","A bill pending in the Chamber of Deputies wants to force people to take the vaccine against covid-19, under penalty of being detained for up to one year",misinformation,True,False,False
L'efficacia dei vaccini contro la Covid-19 è tra il 19 e il 29 per cento.,The effectiveness of Covid-19 vaccines is between 19 and 29 percent.,misinformation,True,False,False
A possibilidade de vacinação obrigatória contra a Covid-19 tem sido u......,The possibility of mandatory vaccination against Covid-19 has been u......,misinformation,True,False,False
Fotos mostram vacinação obrigatória contra a Covid-19 no Peru.,Photos show mandatory vaccination against Covid-19 in Peru.,misinformation,True,False,False
Los vacunados tienen 885% más probabilidades de morir por covid-19,Those vaccinated are 885% more likely to die from covid-19,misinformation,True,False,False
Люди умирают после вакцинации от COVID-19,People die after being vaccinated against COVID-19,misinformation,True,False,False
Vláda chce povinnou vakcínu proti Covid-19,The government wants a mandatory vaccine against Covid-19,misinformation,True,False,False
I vaccinati rischiano di contrarre la Covid-19 in modo più grave dei non vaccinati,The vaccinated are at risk of contracting Covid-19 more severely than the unvaccinated,misinformation,True,False,False
Primeira pessoa a ser vacinada contra covid-19 já tinha recebido o imunizante antes,First person to be vaccinated against covid-19 had already received the immunizing agent before,misinformation,True,False,False
6 สิ่งที่ควรทำก่อนฉีดวัคซีนโควิด-19,6 things to do before vaccinating against COVID-19,misinformation,True,False,False
ยาฆ่าพยาธิไอเวอร์เม็คติน (ivermectin) สามารถใช้รักษาโรคโควิด-19,Ivermectin can be used to treat COVID-19.,misinformation,True,False,False
How many who have no other morbidities under the age of 60 have died from this Covid-19? 350,How many who have no other morbidities under the age of 60 have died from this Covid-19? 350,misinformation,True,False,False
"Die Zahl der Corona-Toten ist immer wieder Gegenstand von Diskussionen in sozialen Netzwerken. Nun kursiert das Video eines Arztes, in dem er behauptet, Covid-19 sei nur noch eine «Laborpandemie». «Wo sind die ganzen Toten?» sei die wichtigste Frage, erklärt der Urologe in dem Video. Eine gefährliche Erkrankung werde nämlich «durch die Toten bestimmt, nicht durch die Infizierten». Laut den neuesten Daten der amerikanischen Seuchenbehörde CDC seien in den USA «nur etwa 6 Prozent überhaupt ursächlich an Sars-CoV-2 gestorben».","The number of corona deaths is repeatedly the subject of discussions on social networks. Now the video of a doctor is circulating in which he claims that Covid-19 is just a ""laboratory pandemic"". ""Where are all the dead?"" is the most important question, explains the urologist in the video. A dangerous disease is namely ""determined by the dead, not by the infected"". According to the latest data from the American epidemic authority CDC, “only about 6 percent died of Sars-CoV-2 at all”.",misinformation,True,False,False
Covid-19 kills roughly the same number of people as flu.,Covid-19 kills roughly the same number of people as flu.,misinformation,True,False,False
"In sozialen Netzwerken und Blogs behaupten viele Nutzer, nur ein Bruchteil der Corona-Toten in den USA sei tatsächlich auf Covid-19 zurückzuführen. Dies würden offizielle Zahlen der amerikanischen Centers for Disease Control and Prevention (CDC) belegen. «Das CDC stellte jetzt fest, dass statt 161.000 nur 9.600 Amerikaner tatsächlich an Covid-19 gestorben seien – also nur 6 % der ursprünglich genannten Zahl», heisst es in einem Post.","In social networks and blogs, many users claim that only a fraction of the corona deaths in the USA can actually be traced back to Covid-19. This would be proven by official figures from the American Centers for Disease Control and Prevention (CDC). ""The CDC now found that instead of 161,000, only 9,600 Americans actually died of Covid-19 - only 6% of the number originally mentioned,"" said a post.",misinformation,True,False,False
"“Five million Americans infected by COVID-19. More than 170,000 Americans have died. By far the worst performance of any nation on Earth.”","“Five million Americans infected by COVID-19. More than 170,000 Americans have died. By far the worst performance of any nation on Earth.”",misinformation,True,False,False
Νέα ενημερωμένα δεδομένα από το CDC δείχνουν τώρα ότι ΜΟΝΟ το 6% των 161.392 αναφερόμενων θανάτων από κοροναϊούς στις ΗΠΑ προκαλούνται από το COVID-19,"New updated data from the CDC now show that ONLY 6% of the 161,392 reported coronavirus deaths in the US are caused by COVID-19",misinformation,True,False,False
Bill Gates said COVID-19 vaccine could kill nearly one million people,Bill Gates said COVID-19 vaccine could kill nearly one million people,misinformation,True,False,False
Primer muerto por coronavirus (Covid 19) en Ibagué,First death from coronavirus (Covid 19) in Ibagué,misinformation,True,False,False
Hanya 13 Ribu Orang di Britania Raya yang Terinfeksi Covid-19 pada Tahun 2020,"Only 13,000 people in the UK infected with Covid-19 in 2020",misinformation,True,False,False
Fatality rates among those infected by COVID-19 range up to 0.054% in those aged 70 and over.,Fatality rates among those infected by COVID-19 range up to 0.054% in those aged 70 and over.,misinformation,True,False,False
Miles de personas morirán con la vacuna contra COVID-19,Thousands of people will die from the COVID-19 vaccine,misinformation,True,False,False
ไทยพบผู้ติดเชื้อโควิด-19 รายใหม่สูงเป็นอันดับ 1 ของโลก ในวันที่ 28 มิถุนายน,Thailand finds infected with Covid-19 The highest number of new cases in the world on June 28,misinformation,True,False,False
รักษาตัวเองอย่างไรเมื่อติดโควิดและต้องรอเตียงอยู่บ้าน,How to treat yourself when infected with covid and have to wait in bed at home,misinformation,True,False,False
A Pornhub notification popped up on the CNN Magic Wall during its US election coverage.,A Pornhub notification popped up on the CNN Magic Wall during its US election coverage.,misinformation,True,False,False
अमेरिकी राष्ट्रपति चुनाव के लाइव कवरेज के दौरान सीएनएन की स्क्रीन पर अचानक “पोर्नहब” का लोगो आ गया.,"During live coverage of the US presidential election, a ""Pornhub"" logo suddenly appeared on CNN's screen.",misinformation,True,False,False
Pornhub notification appears on CNN's screen during US election broadcast,Pornhub notification appears on CNN's screen during US election broadcast,misinformation,True,False,False
PornHub logo on CNN US elections broadcast,PornHub logo on CNN US elections broadcast,misinformation,True,False,False
CNN Spikeri Canlı Yayında ABD Seçimleri ile İlgili Bilgiler Verirken Ekranda Bir Anda Pornhub Yazısının Belirdiği İddiası,"While CNN Announcer Provides Information about the US Elections on Live Broadcast, the Allegation that Pornhub Appears on the Screen Suddenly",misinformation,True,False,False
Pornhub banner appears on CNN's screen during the live election coverage of the US Presidential poll.,Pornhub banner appears on CNN's screen during the live election coverage of the US Presidential poll.,misinformation,True,False,False
Momento constrangedor com uma notificação da Porn Hub a entrar durante um direto da CNN com uma atualização dos resultados eleitorais.,Embarrassing moment with a notification from Porn Hub coming in during a CNN direct with an update of election results.,misinformation,True,False,False
Video Logo Pornhub Muncul Saat Siaran CNN,Pornhub Logo Video Appears During CNN Broadcast,misinformation,True,False,False
ข้อความแจ้งเตือนของ Pornhub ขึ้นจอ CNN ระหว่างการถ่ายทอดสดเลือกตั้งประธานาธิบดีสหรัฐฯ 2563?,Pornhub's message pops up on CNN during the 2020 US presidential election live?,misinformation,True,False,False
अमेरिका के सेंट ल्यूक हॉस्पिटल ने कहा है कि एल्कोहल के इस्तेमाल से कोरोना वायरस के खतरे को कम किया जा सकता है.,Luke's Hospital of America has said that the use of alcohol can reduce the risk of corona virus.,misinformation,True,False,False
การดื่มแอลกอฮอล์สามารถช่วยลดโอกาสการติดเชื้อไวรัสโคโรน่าได้?,Can drinking alcohol reduce the chances of contracting the coronavirus?,misinformation,True,False,False
วิดีโอขณะชาวไนจีเรียแย่งอาหารในช่วงล็อคดาวน์ขณะไวรัสโคโรน่าระบาด?,Video of Nigerians scrambling for food during coronavirus lockdown?,misinformation,True,False,False
Doctors in Japan advise drinking water every 15 minutes to prevent being infected with the novel Coronavirus.,Doctors in Japan advise drinking water every 15 minutes to prevent being infected with the novel Coronavirus.,misinformation,True,False,False
Drinking water will cure coronavirus,Drinking water will cure coronavirus,misinformation,True,False,False
ผู้เชี่ยวชาญด้านการแพทย์ชี้แจงดื่มน้ำทุกๆ 15 นาที ไม่สามารถช่วยป้องการการติดเชื้อไวรัสโคโรน่าได้,Medical experts say drinking water every 15 minutes won't help prevent coronavirus infection.,misinformation,True,False,False
อย่าใช้น้ำเกลือล้างผัก เกลือเป็นโซเดียมคลอไรด์ที่มีส่วนทำให้สารตกค้างอย่างยาฆ่าแมลงนั้นคงทนยิ่งขึ้น ทำให้มันยังตกค้างอยู่ในผักและผลไม้,Do not use salt water to wash vegetables. Salt is the sodium chloride that contributes to making pesticide residues more durable. causing it to remain in fruits and vegetables,misinformation,True,False,False
ภาพช่วงการระบาดของไข้หวัดใหญ่สเปนปี 2461?,Pictured during the Spanish flu epidemic of 1918?,misinformation,True,False,False
การกลั้นหายใจ 10 วินาทีเป็นวิธีตรวจสภาพปอดว่าติดเชื้อไวรัสโคโรน่าสายพันธุ์ใหม่,Holding your breath for 10 seconds is a way to check if your lungs are infected with the new coronavirus.,misinformation,True,False,False
Photo show Thai students rejection of school uniforms,Photo show Thai students rejection of school uniforms,misinformation,True,False,False
นักเรียนเด่นในสหรัฐฯ แสดงความคิดเห็นเกี่ยวกับเครื่องแบบนักเรียนในไทย?,Outstanding students in the United States Comments about school uniforms in Thailand?,misinformation,True,False,False
"Testing for Covid-19 can return a positive result due to a cold or flu, or having received the flu vaccine in the past","Testing for Covid-19 can return a positive result due to a cold or flu, or having received the flu vaccine in the past",misinformation,True,False,False
8 tys. zgonów po szczepieniu przeciw COVID-19 w Unii Europejskiej.,8 thousand deaths following COVID-19 vaccination in the European Union.,misinformation,True,False,False
Kaszel jest wystarczającym objawem do uznania kogoś za chorego na Covid-19,A cough is sufficient to qualify someone as having Covid-19,misinformation,True,False,False
Um cientista clínico e imunologista-virologista em um laboratório do sul da Califórnia diz que nenhuma das 1.500 amostras de pessoas com teste “positivo” conseguiu encontrar Covid-19,"A clinical scientist and immunologist-virologist at a Southern California laboratory says none of the 1,500 samples from people who test ""positive"" could find Covid-19",misinformation,True,False,False
สัญญาญช่วง 9 วันแรกหลังติดเชื้อโควิด-19 สรุปโดยข้อมูลจากกระทรวงสาธารณสุขสิงคโปร์?,Signs during the first 9 days after contracting COVID-19 Summarized by data from the Singapore Ministry of Health?,misinformation,True,False,False
Fotoğrafın koronavirüsten etkilenen insanları gösterdiği iddiası,The claim that the photo shows people affected by the coronavirus,misinformation,True,False,False
วิดีโอตำรวจอิตาลีจับกุมผู้คนสูงอายุในช่วงระหว่างการระบาดของโรคโควิด-19?,Italian police video arresting elderly people during the coronavirus pandemic?,misinformation,True,False,False
صور لحرائق كاليفورنيا الأخيرة,Pictures of the recent California wildfires,misinformation,True,False,False
วิดีโอเหตุการณ์ไฟป่าในสหรัฐฯ เมื่อเดือนกันยายน 2563?,Video of wildfires in the US When September 2020?,misinformation,True,False,False
ଆମେରିକୀୟ ବୈଜ୍ଞାନିକ ଦ୍ବାରା କରୋନା ଭାଇରସ୍ ର ନୂଆ ଟୀକା ବିକଶିତ ହୋଇଛି,A new vaccine for the coronavirus has been developed by American scientists,misinformation,True,False,False
CORONAVÍRUS na China! Verdadeira realidade da China! Previnam-se amigos,CORONAVIRUS in China! China's real reality! beware friends,misinformation,True,False,False
"Coronavirus vaccine is ready, able to cure a patient within 3 hours","Coronavirus vaccine is ready, able to cure a patient within 3 hours",misinformation,True,False,False
วิตามิน ไวรัสโคโรน่า,vitamin corona virus,misinformation,True,False,False
"La tabla que compara los síntomas del coronavirus, la gripe y el resfriado","The chart that compares the symptoms of coronavirus, flu and cold",misinformation,True,False,False
A vaccine for the new coronavirus has been created by US scientists and will be ready to use from next Sunday.,A vaccine for the new coronavirus has been created by US scientists and will be ready to use from next Sunday.,misinformation,True,False,False
"7 evil things the novel Coronavirus is afraid of including UV light, chlorine and high temperatures.","7 evil things the novel Coronavirus is afraid of including UV light, chlorine and high temperatures.",misinformation,True,False,False
గోమూత్రం లో కొరోనా వైరస్ ని నియంత్రించే ఔషధాలను తమ శాస్త్రవేత్తలు గుర్తించారని చైనా అధ్యక్షుడు జిన్ పింగ్ అన్నాడు.,Chinese President Jin Ping has said that his scientists have identified drugs that control the corona virus in cow urine.,misinformation,True,False,False
A koronavírus elleni oltások globális katasztrófához vezethetnek,Coronavirus vaccinations could lead to a global catastrophe,misinformation,True,False,False
“Corona virus sudah ada di RS. Bhayangkara Indramayu”,"""Coronavirus is already in the hospital. Bhayangkara Indramayu""",misinformation,True,False,False
"Una receta con limón, aspirinas y miel cura el nuevo coronavirus COVID-19","A recipe with lemon, aspirin and honey cures the new coronavirus COVID-19",misinformation,True,False,False
Koronavirüsün kanser hücrelerini öldürücü etkiye sahip olduğu iddiası,The claim that the coronavirus has a killing effect on cancer cells,misinformation,True,False,False
"Das Coronavirus enthält HIV-Anteile, wurde also im Labor erschaffen","The coronavirus contains HIV components, so it was created in a laboratory",misinformation,True,False,False
ยารักษาไวรัสโคโรน่า,corona virus treatment,misinformation,True,False,False
รัสเซียปิดประเทศส่งสิงโตลาดตระเวนท้องถนน?,Russia closed the country to send lions to patrol the streets?,misinformation,True,False,False
ภาพการประท้วงที่เมืองมินนิโซตา สหรัฐฯ ในเดือนพฤษภาคม 2020?,"Pictures of protests in Minnesota, US in May 2020?",misinformation,True,False,False
Gargling With Saltwater Or Vinegar Will Kill The Novel Coronavirus,Gargling With Saltwater Or Vinegar Will Kill The Novel Coronavirus,misinformation,True,False,False
Hacer gárgaras con agua y sal previene el coronavirus,Gargling with water and salt prevents coronavirus,misinformation,True,False,False
גרגור מים עם מלח או חומץ במהלך ארבעת הימים הראשונים להדבקה בקורונה מבטל ומסיר את הנגיף,Gargling water with salt or vinegar during the first four days of infection with Corona eliminates and removes the virus,misinformation,True,False,False
ଉଷୁମ ପାଣିରେ ଲୁଣ ପକାଇ ଗାର୍ଗିଲିଂ କରିଲେ କରୋନା ଭାଇରସ୍ ରୁ ରକ୍ଷା ମିଳିବ,Gargling with salt in warm water will protect against the coronavirus,misinformation,True,False,False
Kloktanie teplej vody so soľou či octom zabráni nákaze novým koronavírusom,Gargling with warm water with salt or vinegar will prevent infection with the new coronavirus,misinformation,True,False,False
Ponerse sal en la boca previene el covid-19 o nuevo coronavirus,Putting salt in your mouth prevents covid-19 or new coronavirus,misinformation,True,False,False
【錯誤】網傳「冠狀病毒在抵達肺部前會停留在喉嚨四天...如果他喝大量的水，並且以溫水加鹽巴或醋來漱口，可以消除病毒」？,"[Error] It is reported on the Internet that ""coronavirus will stay in the throat for four days before reaching the lungs... If he drinks a lot of water and rinses his mouth with warm water and salt or vinegar, the virus can be eliminated""?",misinformation,True,False,False
